adm_cd,adm_nm,sgis_adm_cd,sgis_adm_nm
1159066000,대방동,11200680,대방동
1159067000,신대방제1동,11200690,신대방1동
1159068000,신대방제2동,11200700,신대방2동
1162052500,보라매동,11210520,보라매동
1162054500,청림동,11210540,청림동
1162056500,성현동,11210790,성현동
1162057500,행운동,11210570,행운동
1162058500,낙성대동,11210580,낙성대동
1162059500,청룡동,11210800,청룡동
1162060500,은천동,11210780,은천동
1162061500,중앙동,11210610,중앙동
1162062500,인헌동,11210620,인헌동
1162063000,남현동,11210630,남현동
1162064500,서원동,11210640,서원동
1162065500,신원동,11210650,신원동
1162066500,서림동,11210660,서림동
1162068500,신사동,11210680,신사동
1162069500,신림동,11210690,신림동
1162071500,난향동,11210710,난향동
1162072500,조원동,11210720,조원동
1162073500,대학동,11210730,대학동
1162074500,삼성동,11210820,삼성동
1162076500,미성동,11210830,미성동
1162077500,난곡동,11210810,난곡동
1165051000,서초1동,11220510,서초1동
1165052000,서초2동,11220520,서초2동
1165053000,서초3동,11220530,서초3동
1165053100,서초4동,11220540,서초4동
1165054000,잠원동,11220550,잠원동
1165055000,반포본동,11220560,반포본동
1165056000,반포1동,11220570,반포1동
1165057000,반포2동,11220580,반포2동
1165058000,반포3동,11220590,반포3동
1165058100,반포4동,11220600,반포4동
1165059000,방배본동,11220610,방배본동
1165060000,방배1동,11220620,방배1동
1165061000,방배2동,11220630,방배2동
1165062000,방배3동,11220640,방배3동
1165062100,방배4동,11220650,방배4동
1165065100,양재1동,11220660,양재1동
1165065200,양재2동,11220670,양재2동
1165066000,내곡동,11220680,내곡동
1168051000,신사동,11230510,신사동
1168052100,논현1동,11230520,논현1동
1168053100,논현2동,11230530,논현2동
1168054500,압구정동,11230770,압구정동
1168056500,청담동,11230780,청담동
1168058000,삼성1동,11230580,삼성1동
1168059000,삼성2동,11230590,삼성2동
1168060000,대치1동,11230600,대치1동
1168061000,대치2동,11230790,대치2동
1168063000,대치4동,11230630,대치4동
1168064000,역삼1동,11230640,역삼1동
1168065000,역삼2동,11230650,역삼2동
1168065500,도곡1동,11230660,도곡1동
1168065600,도곡2동,11230670,도곡2동
1168066000,개포1동,11230680,개포1동
1168067000,개포2동,11230800,개포2동
1168067500,개포3동,11230511,개포3동
1168069000,개포4동,11230710,개포4동
1168070000,세곡동,11230760,세곡동
1168072000,일원본동,11230720,일원본동
1168073000,일원1동,11230730,일원1동
1168075000,수서동,11230750,수서동
1171051000,풍납1동,11240510,풍납1동
1171052000,풍납2동,11240520,풍납2동
1171053100,거여1동,11240530,거여1동
1171053200,거여2동,11240540,거여2동
1171054000,마천1동,11240550,마천1동
1171055000,마천2동,11240560,마천2동
1171056100,방이1동,11240570,방이1동
1171056200,방이2동,11240580,방이2동
1171056600,오륜동,11240590,오륜동
1171057000,오금동,11240600,오금동
1171058000,송파1동,11240610,송파1동
1171059000,송파2동,11240620,송파2동
1171060000,석촌동,11240630,석촌동
1171061000,삼전동,11240640,삼전동
1171062000,가락본동,11240650,가락본동
1171063100,가락1동,11240660,가락1동
1171063200,가락2동,11240670,가락2동
